n_ingroup_kept	outgroup_used	stem_len_inferred	stem_fraction	crown_fraction	target_type	target_label	retained_tip	backbone_index
106	Stenamma_alas	0.0259736384047779	0.211644598416174	0.788355401583826	clade	Bazboltonia,Gnamptogenys	Acanthoponera	1
601	Proceratium_google	0.0199862500342763	0.117556036127685	0.882443963872315	clade	Platythyrea,Leptogenys	Anochetus	1
121	Monomorium_hanneli	6.49971514504135	0.0757773973787201	0.92422260262128	clade	Rostromyrmex,Leptothorax	Acanthomyrmex	1
22	Agraulomyrmex_TZ01	15.9425766227273	0.34273153723031	0.65726846276969	tip	Acropyga	NA	1
203	Myrmoteras_iriodum	0.448623672174254	0.538920854180938	0.461079145819062	clade	Colobopsis,Camponotus	Calomyrmex	1
81	Camponotous_sp	0.542653516807185	0.443889869213098	0.556110130786902	clade	Polyrhachis_callima,Polyrhachis_exercita	Polyrhachis_aberrans	1
65	Procryptocerus_scabriusculus	0.0315327758122269	0.551898297973265	0.448101702026735	tip	Cephalotes	NA	1
91	Recurvidris_TH01	29.3002122399583	0.408633658210395	0.591366341789605	clade	Crematogaster_macracantha,Crematogaster_kelleri	Crematogaster_aberrans	1
31	Crematogaster_lotti	0.0764200066740823	0.486848064193638	0.513151935806362	clade	Crematogaster_scutellaris,Crematogaster_pilosa	Crematogaster_coarctata	1
30	Forelius_damiani	6.06212703000003	0.183456350439633	0.816543649560367	tip	Dorymyrmex	NA	1
8	Dorymyrmex_paranensis	18.0284763416667	0.545590773121931	0.454409226878069	tip	Forelius	NA	1
9	Dorymyrmex_paranensis	10.1995659027778	0.210161847364172	0.789838152635828	tip	Leptomyrmex	NA	1
77	Iberoformica_subrufa	0.0375588037894956	0.127219269899574	0.872780730100426	tip	Formica	NA	1
21	Myrmecocystus_mexicanus	0.00121978051587302	0.152935629902864	0.847064370097136	tip	Lasius	NA	1
62	Nothomyrmecia__9893	0.0446896125538481	0.58054761363506	0.41945238636494	tip	Myrmecia	NA	1
41	Adelomyrmex_longinoi	0.056483601463412	0.0551218523996355	0.944878147600364	clade	Manica,Pogonomyrmex	Hylomyrma	1
44	Lasius_californicus	20.95428615	0.312838298245039	0.687161701754961	clade	Zatania,Nylanderia	Euprenolepis	1
241	Cephalotes_setulifer	27.800577	0.485964772130953	0.514035227869047	tip	Pheidole	NA	1
100	Myrcidris_epicharis	0.0221452314092939	0.430380129579289	0.569619870420711	tip	Pseudomyrmex	NA	1
12	Pseudomyrmex_perboscii	6.68633795	0.330818569694887	0.669181430305113	clade	Pseudomyrmex_particeps,Pseudomyrmex_janzeni	Pseudomyrmex_ferrugineus	1
85	Adelomyrmex_jtl	35.8545251486554	0.415300641907956	0.584699358092044	clade	Novomessor,Stenamma	Aphaenogaster	1
48	Aphaenogaster_megommata	0.0194441798611109	0.090305051551097	0.909694948448903	clade	Messor_aciculatus,Messor_denticornis	Messor_aciculatus	1
115	Pilotrochus_besmerus	0.0109198111450611	0.24277250330213	0.75722749669787	tip	Strumigenys	NA	1
80	Harpagoxenus_sublaevis	0.0319822735528281	0.440965063104037	0.559034936895963	clade	Temnothorax_poeyi,Temnothorax_bernardi	Temnothorax_bernardi	1
54	Acanthognathus_ocellatus	0.0492729854497351	0.0717391003703954	0.928260899629605	clade	Apterostigma,Acromyrmex	Acromyrmex	1
